NumeroLinha;Linha;Nome
323;4030;JARDIM FILADELFIA VIA NOVO GLORIA
327;4032-02;CAICARA /SAVASSI/ PCA. DA LIBERDADE
331;4034-01;NOVO DOM BOSCO / SAVASSI VIA PADRE EUSTAQUIO
336;4106;SAO CRISTOVAO/SANTO ANTONIO VIA SAVASSI
345;4108-01;PEDRO II / MANGABEIRAS
362;4403D-01;URCA-CONFISCO
365;4405-03;COQUEIROS
397;5102-04;UFMG/SANTO ANTONIO
404;5503A-02;GOIANIA A/CENTRO/HOSPITAIS
407;5503A-06;VIA VILA SÃO JORGE
410;5505A;NAZARE
414;5505B-01;VISTA DO SOL
424;5507A;JARDIM GUANABARA A
431;5508A;MINASLANDIA VIA PRIMEIRO DE MAIO
443;5517B;MINAS CAIXA VIA SERRA VERDE B
446;5520A-01;SAO TOMAZ
449;5521A;SOLIMOES
452;5521B-01;LAJEDO
455;5521C-01;NOVO AARAO REIS
458;5522A-01;MONTE AZUL
462;5523A;CONJUNTO PAULO VI
471;5525B;PARQUE BELMONTE
477;5537-01;SERRA VERDE
481;60;VENDA NOVA/CENTRO
484;60-03;VENDA NOVA/CENTRO
487;606;FLORAMAR/JARDIM EUROPA
494;61;EST. VENDA NOVA/CENTRO-DIRETA
520;625;MARIA HELENA B/ESTACAO VENDA NOVA
527;626-02;NOTURNO
539;629-01;JARDIM DOS COMERCIARIOS/ESTACAO VENDA NOVA
549;64;EST.V.NOVA/ASSEMB.VIA CARLOS LUZ
553;64-04;ESTACAO VENDA NOVA/SANTO AGOSTINHO V.CARLOS LUZ
558;702-01;ESTAÇÃO VILARINHO/XODO-MARIZE VIA JD. GUANABARA
562;7031;JULIO MARIA/CENTRO
569;8030;DOM SILVERIO/CENTRO
572;805-01;SAO MARCOS/MINAS SHOPPING VIA FERNAO DIAS
576;8102-01;UNIAO/CARMO SION
580;8103-02;NOVA FLORESTA/SANTA LUCIA VIA LOURDES
587;8108;CIDADE NOVA/SAVASSI VIA RUA DA BAHIA
590;8150-01;UNIAO/SERRA VIA FLORESTA/HOSPITAIS
593;8205;MARIA GORETTI/NOVA GRANADA
624;9106-01;SAGRADA FAMILIA/SERRA
635;9204;SANTA EFIGENIA/ESTORIL
638;9205;NOVA VISTA/NOVA CINTRA
641;9205-03;NOVA VISTA/NOVA CINTRA
645;9207;SANTA INES/NOVA CINTRA
648;9208-01;TAQUARIL/CONJUNTO SANTA MARIA
655;9211-01;CAETANO FURQUIM/HAVAI
663;9403;PARAISO/CAICARA
669;9405-01;INSTITUTO AGRONOMICO/MONSENHOR MESSIAS
674;9408-01;SANTA EFIGENIA/PADRE EUSTAQUIO
681;9412-01;CONJ.TAQUARIL/PADRE EUSTAQUIO
685;9501;SAO LUCAS/JARAGUA
688;9501-03;SAO LUCAS/JARAGUA
705;9804-01;SAO LUCAS/CONCORDIA
712;SC01B-01;CONTORNO B
741;4111-03;ATENDIMENTO A ESCOLA GUINARD
745;8107;CONCORDIA/SAO PEDRO VIA COLEGIO BATISTA
755;3501A-01;PRINCIPAL
759;5502A-03;JARDIM VITORIA A - ATEND. POUSADA SANTO ANTONIO
762;5502C;POUSADA SANTO ANTONIO/CENTRO/HOSPITAIS
766;5507B-01;FELICIDADE
772;9030-01;CASTANHEIRAS/CENTRO
275;318-01;EST. BARR./J.LIBERDADE VIA MILIONARIOS
798;62-03;PARQUE DA MANGABEIRAS
802;705;ESTACAO SAO GABRIEL/SAO TOMAZ
806;706;ESTACAO SAO GABRIEL/ HELIOPOLIS
814;708-02;ESTACAO SAO GABRIEL / RUA EXPED. JESUS RAMOS
818;8103R-05;SAO BENTO/CENTRO
821;8350-02;EST.SAO GABRIEL/EST.BARREIRO
825;9030-04;CASTANHEIRAS/CENTRO
867;3000-01;ACESSO ESTAÇÃO SAO GABRIEL
875;714-02;CASAS POPULARES/ ESTAÇÃO SÃO GABRIEL
884;0000-01;LINHA APRESENTAÇÃO
888;9214-01;CAETANO FURQUIM/ HAVAI - VIA ALTO HAVAI
905;3053-01;ESTACAO BARREIRO/ BARRO PRETO
917;326-01;EST. BARREIRO/ VALE DO JATOBA
921;328;CARDOSO B / ESTAÇÃO BARREIRO
928;32;ESTAÇÃO BARREIRO / CENTRO- TAMOIOS
932;32-04;ESTAÇÃO BARREIRO / CENTRO- TAMOIOS
936;331-01; EST.BARR./CONJ.TEIXEIRA DIAS-UPA
940;333-01;BOM SUCESSO / MILIONARIOS / ESTAÇÃO BARREIRO
947;31-05;JATOBA / HOSPITAIS
966;4107R-04;SERRA/CENTRO VIA HOSPITAL EVANGELICO
977;1207B-07;CONJUNTO BETANIA/SANTA MONICA ATEND. LÓTUS
1044;5508;AARÃO REIS VIA MINASLANDIA
1046;5508-01;AARÃO REIS VIA MINASLANDIA
1048;5508-03;AARÃO REIS VIA MINASLANDIA / CENTRO
1049;5508-04;AARÃO REIS VIA MINASLANDIA-PARTIDAS AV CONTORNO
1050;2212B-03;JARDIM LEBLON
1057;318-05;EST. BARR./J.LIBERDADE VIA MILIONARIOS
1063;8350-06;VIADUTO SÃO FRANCISCO / ESTACAO BARREIRO
1065;9403-03;PARAISO/CAICARA
1066;1404A-05;PALMEIRAS / ALIPIO DE MELO
1067;1404A-06;PALMEIRAS/ALIPO DE MELO 
1069;9103-02;STA TERESA /STO ANTONIO-PONTO FINAL RUA LEOPOLDINA
1075;4034-06;NOVO DOM BOSCO/SAVASSI VIA PADRE EUSTAQUIO
1078;9407-04;ALTO VERA CRUZ/DOM BOSCO
1081;E060;SERVIÇO ESPECIAL NOVA SUIÇA
1085;302-05;VIA CONJUNTO ÁGUAS CLARAS
1087;E002;SERVIÇO ESPECIAL BETANIA
1088;E002-01;SERVIÇO ESPECIAL BETANIA
1091;E006-01;SERVIÇO ESPECIAL COLETIVOS SÃO LUCAS
1094;E008-01;SERVIÇO ESPECIAL COLETIVOS VENDA NOVA
1095;E018;SERVIÇO ESPECIAL EXPRESSO RADAR
1096;E018-01;SERVIÇO ESPECIAL EXPRESSO RADAR
1097;E024;SERVIÇO ESPECIAL SÃO BERNARDO ÔNIBUS
1102;E027-01;SERVIÇO ESPECIAL TRANSLUCIANA
1103;E034;SERVIÇO ESPECIAL URCA AUTO ÔNIBUS 
1104;E034-01;SERVIÇO ESPECIAL URCA AUTO ÔNIBUS
1107;E038;SERVIÇO ESPECIAL VIAÇÃO AVENIDA
1111;E043-01;SERVIÇO ESPECIAL VIAÇÃO CARNEIRINHOS
1112;E046;SERVIÇO ESPECIAL VIAÇÃO CRUZEIRO
1113;3055;ESTACAO BARREIRO/SAVASSI VIA BHSHOPPING
1114;E046-01;SERVIÇO ESPECIAL VIAÇÃO CRUZEIRO
1115;3055-01;EST.BARREIRO/SAVASSI-BH SHOP.
1116;3055-02;ESTACAO BARREIRO/SAVASSI VIA BHSHOPPING
1118;E048;SERVIÇO ESPECIAL TCL
1117;3055-03;ESTACAO BARREIRO/SAVASSI VIA BHSHOPPING
1120;E049;SERVIÇO ESPECIAL GEMATUR
1122;E050;SERVIÇO ESPECIAL VIAÇÃO GETÚLIO VARGAS
1123;E050-01;SERVIÇO ESPECIAL GETÚLIO VARGAS
1125;E051;SERVIÇO ESPECIAL VIAÇÃO GLOBO
1129;E053;SERVIÇO ESPECIAL VIAÇÃO LUX
1132;E055-01;SERVIÇO ESPECIAL VIAÇÃO METROPOLITANA
1133;E061;SERVIÇO ESPECIAL VIAÇÃO PARAENSE
1134;E061-01;SERVIÇO ESPECIAL VIAÇÃO PARAENSE
1135;E063;SERVIÇO ESPECIAL SAGRADA FAMÍLIA
1137;E065;SERVIÇO ESPECIAL VIAÇÃO PROGRESSO
1138;E065-01;SERVIÇO ESPECIAL VIAÇÃO PROGRESSO
1139;E066;SERVIÇO ESPECIAL VIAÇÃO REAL
1140;E066-01;SERVIÇO ESPECIAL VIAÇÃO REAL
1141;E068;SERVIÇO ESPECIAL VIAÇÃO SANDRA
1142;E068-01;SERVIÇO ESPECIAL VIAÇÃO SANDRA
1143;E069;SERVIÇO ESPECIAL VIAÇÃO SANTA EDWIGES
1145;E072;SERVIÇO ESPECIAL VIAÇÃO SANTA TEREZA
1146;E072-01;SERVIÇO ESPECIAL VIAÇÃO SANTA TEREZA
1151;E074-01;SERVIÇO ESPECIAL VIAÇÃO SÃO PEDRO
1152;E078;SERVIÇO ESPECIAL VIAÇÃO TORRES
1153;E078-01;SERVIÇO ESPECIAL VIAÇÃO TORRES
1155;E079-01;SERVIÇO ESPECIAL VIAÇÃO EUCLÁSIO
1156;E081;SERVIÇO ESPECIAL VIAÇÃO VERA CRUZ
1158;E082;SERVIÇO ESPECIAL VIAÇÃO ZURICK
1159;E082-01;SERVIÇO ESPECIAL VIAÇÃO ZURICK
1160;E085;SERVIÇO ESPECIAL VIASUL
1163;E094-01;SERVIÇO ESPECIAL RODAP
1164;E098;SERVIÇO ESPECIAL COLETUR
1166;E099;SERVIÇO ESPECIAL TRANSCBEL
1167;E099-01;SERVIÇO ESPECIAL TRANSCBEL
1168;E100;SERVIÇO ESPECIAL VIAÇÃO BOA VISTA
1171;E101-01;SERVIÇO ESPECIAL AUTO VIAÇÃO SANTO AGOSTINHO
1173;E114;SERVIÇO ESPECIAL SÃO CRISTÓVÃO
1174;E114-01;SERVIÇO ESPECIAL SÃO CRISTÓVÃO
1176;E104-01;SERVIÇO ESPECIAL AUTOTRANS
1177;E105;SERVIÇO ESPECIAL PÁSSARO VERDE
1178;E105-01;SERVIÇO ESPECIAL VIAÇÃO PÁSSARO VERDE
1181;E107;SERVIÇO ESPECIAL MILÊNIO
1182;E107-01;SERVIÇO ESPECIAL MILÊNIO
1184;E108-01;SERVIÇO ESPECIAL SÃO DIMAS
1185;E109;SERVIÇO ESPECIAL VIAÇÃO JARDINS
1190;713-03;NOTURNO
1191;1020;LINHA CARGA A BORDO 2
1192;1020-01;LINHA CARGA A BORDO 2
1199;1001;LINHA DE BLOQUEIO ESTAÇÃO DIAMANTE
1202;4001-01;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1212;3052-03;ESTACAO DIAMANTE/BH SHOPPING-VIA HAVAI
1213;9402-02;SANTA INES/SANTO ANDRE
1214;4002;ESTAÇAO BARREIRO 
1215;4002-01;ESTAÇAO BARREIRO
1216;4001-02;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1217;4001-03;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1218;4001-04;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1220;1001-02;LINHA DE BLOQUEIO ESTAÇÃO DIAMANTE
1221;1001-03;LINHA DE BLOQUEIO ESTAÇÃO DIAMANTE
1233;5001-02;LINHA UCL
1239;4001-06;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO ACESSO LOJAS
1245;5505A-04;NAZARE
1248;9501-07;SAO LUCAS/JARAGUA
1251;5006;LINHA UCP - ESTAÇÃO CARLOS PRATES
1252;5006-01;LINHA UCP - ESTAÇÃO CARLOS PRATES
1254;5002-01;LINHA UCI - ESTAÇÃO CIDADE INDUSTRIAL
1255;5003;LINHA UVO - ESTAÇÃO VILA OESTE
1256;5003-01;LINHA UVO - ESTAÇÃO VILA OESTE
1258;5004-01;LINHA UGM - ESTAÇÃO GAMELEIRA
1259;5005;LINHA UCL - ESTAÇÃO CALAFATE
1260;5005-01;LINHA UCL - ESTAÇÃO CALAFATE
1263;5007-01;LINHA ULG - ESTAÇÃO LAGOINHA
1267;5009;LINHA USE - ESTAÇÃO SANTA EFIGÊNIA
1270;5010;LINHA UST - ESTAÇÃO SANTA TERESA
1273;5011;LINHA UHF - ESTAÇÃO HORTO FLORESTAL
1275;5012;LINHA USI - ESTAÇÃO SANTA INÊS
1277;5012-01;LINHA USI - ESTAÇÃO SANTA INÊS
1278;5013;LINHA UJC - ESTAÇÃO JOSÉ CÂNDIDO
1279;5013-01;LINHA UJC - ESTAÇÃO JOSÉ CÂNDIDO
1280;5014;LINHA UMS - ESTAÇÃO MINAS SHOPPING
1281;5014-01;LINHA UMS - ESTAÇÃO MINAS SHOPPING
1283;5015-01;LINHA USG -EST. SÃO GABRIEL ACESSO LESTE
1284;5016;LINHA UPM - ESTAÇÃO PRIMEIRO DE MAIO
1287;5017-01;LINHA UWL - ESTAÇÃO WALDOMIRO LOBO
1295;9405-02;INSTITUTO AGRONOMICO/MONSENHOR MESSIAS
1297;5015-03;LINHA USG- EST. SÃO GABRIEL NIVEL EST. OESTE
1298;5015-04;LINHA USG- EST. SÃO GABRIEL  EST. OESTE 2º NIVEL
1299;9202-06;POMPEIA/JARDIM AMERICA
1301;4002-02;ESTAÇÃO BARREIRO SAÍDA / ACESSO SHOPPING
1303;2211A-04;CAMPO ALEGRE
1305;2211A-05;CAMPO ALEGRE
1307;3503A-06;VIA PÇA DIVINA PASTORA
1311;5506C-03;PAULO VI VIA RIBEIRO DE ABREU
1312;102-02;VIA AV CARDOSO
1315;8203-03;RENASCENÇA/BURITIS VIA NOVA SUISSA
1316;319-03;VIA HOSPITAL JÚLIA KUBITSCHECK
1318;335;ESTAÇÃO BARREIRO/LINDÉIA
1319;335-01;ESTAÇÃO BARREIRO/LINDÉIA
1327;S20-01;PALMEIRAS/SERRA
1328;S20-02;PALMEIRAS/SERRA - ATEND.BH SHOPPING
1329;S21;DOM CABRAL/BH SHOPPING
1330;S21-01;DOM CABRAL/BH SHOPPING
1334;S31;PETRÓPOLIS / BARREIRO
1335;S31-01;PETRÓPOLIS / BARREIRO
1336;S80;JARDIM VITÓRIA/JARDINÓPOLIS
1337;S80-01;PRINCIPAL
1340;S33-01;LINDÉIA/MILIONÁRIOS
1342;S33-03;LINDÉIA/MILIONÁRIOS- ENCERRA NO BAIRRO MILIONARIOS
1343;S41;CONJUNTO CALIFÓRNIA/PRADO
1344;S41-01;CONJUNTO CALIFÓRNIA/PRADO
1345;S41-02;CONJUNTO CALIFÓRNIA/PRADO - ATEND. ESTÁCIO DE SÁ
1350;S51;CIRCULAR PAMPULHA
1351;S51-01;CIRCULAR PAMPULHA - PRINCIPAL VIA PORTUGAL
1352;S52;CIRCULAR PAMPULHA
1353;S52-01;CIRCULAR PAMPULHA
1355;S54;DOM BOSCO/SHOPPING DEL REY
1356;S54-01;DOM BOSCO/SHOPPING DEL REY / VIA CASTELO   A
1357;S54-02;DOM BOSCO/SHOPPING DEL REY / VIA PE EUSTÁQUIO B
1358;S55;SANTA MÔNICA/MINAS SHOPPING
1359;S55-01;SANTA MÔNICA/MINAS SHOPPING
1360;S60;ETELVINA CARNEIRO/JARDIM LEBLON VIA VENDA NOVA
1365;S63;CAMPO ALEGRE/CEU AZUL VIA RIO BRANCO
1366;S63-01;CAMPO ALEGRE/CEU AZUL VIA RIO BRANCO
1367;S63-02;CIRCULAR VENDA NOVA - ATEND. CÉU ANIL
1369;S64-01;CAMPO ALEGRE/CEU AZUL VIA VENDA NOVA
1371;S65;SÃO BERNARDO/MINASCAIXA
1372;S65-01;SÃO BERNARDO/MINASCAIXA
1373;S66;TUPI/EUROPA
1375;S53;CONFISCO/SÃO GABRIEL
1377;S53-01;CONFISCO/SÃO GABRIEL
1380;S81;CIRCULAR NORDESTE
1381;S81-01;CIRCULAR NORDESTE
1383;S82-01;CIRCULAR NORDESTE
1385;S83;DOM JOAQUIM/VISTA DO SOL
1386;S83-01;DOM JOAQUIM/VISTA DO SOL
1387;S83-02;DOM JOAQUIM/VISTA DO SOL - PARTIDA VISTA DO SOL
1392;S90;BALEIA/SAGRADA FAMILIA
1393;S90-01;BALEIA/SAGRADA FAMÍLIA
1395;S32;ITAIPÚ/CARDOSO
1396;S32-01;ITAIPÚ/CARDOSO
1398;2256A-04;SÃO JOÃO BATISTA A
1402;6006;LINHA TOTEM METRÔ ESTAÇÃO CARLOS PRATES
1404;6007;LINHA TOTEM METRÔ ESTAÇÃO LAGOINHA
1405;6007-01;LINHA TOTEM METRÔ ESTAÇÃO LAGOINHA
1406;6008;LINHA TOTEM METRÔ ESTAÇÃO CENTRAL
1407;6008-01;LINHA TOTEM METRÔ ESTAÇÃO CENTRAL
1408;6009;LINHA TOTEM METRÔ ESTAÇÃO SANTA EFIGÊNIA
1420;105;ESTAÇÃO CENTRAL/LOURDES
1421;105-01;ESTAÇÃO CENTRAL/LOURDES
1441;4501-02;CALIFORNIA II / SAO PAULO - ATEND.  CALIFÓRNIA I
1442;205-02;METRÔ CALAFATE/BURITIS - RET. PÇ WILSON S. FLORES
1464;5517-04;MINAS CAIXA / CENTRO
1465;5517-05;MINAS CAIXA/ VIA SERRA VERDE - PART. RUA GUAICURUS
1466;2215A-08;CÉU AZUL A - PAT. RUA DOS NAVEGANTES
1467;2216-03;SANTA BRANCA / CENTRO
1468;2216-04;SANTA BRANCA - PARTIDAS AV BERNARDO MONTEIRO
1523;621-05;PARTIDAS RUA J.SABINO MACIEL
1525;5201-04;PART.RUA BOAVENTURA/BURITIS
1562;811;ESTAÇÃO SÃO GABRIEL/VISTA DO SOL VIA PUC
1563;811-01;EST.S.GABRIEL/VISTA DO SOL - PUC
3394;9202-08;POMPEIA/JARDIM AMÉRICA
3396;9206-04;VERA CRUZ/BURITIS VIA AV. RAJA GABAGLIA
3397;9207-02;SANTA INES/NOVA CINTRA
3398;9208-05;TAQUARIL/CONJUNTO SANTA MARIA
3400;9208-06;TAQUARIL/CONJUNTO SANTA MARIA NÃ ATEND. R. ERCILIA
3401;9210-02;SANTA TEREZA/PRADO
3403;9211-02;CAERTANO FURQUIM/HAVAI
3405;9214-02;CAETANO FURQUIM/HAVAI - VIA ALTO HAVAI
3406;9403-04;PARAISO/CAIÇARA
3408;9403-05;PARAISO/CAIÇARA ATEND. R. AURELIANO MAGALHAES
3409;9405-03;INSTITUTO AGRONOMICO/MONSENHOR MESSIAS
3412;9407-05;ALTO VERA CRUZ/DOM BOSCO
3413;9407-06;ALTO VERA CRUZ/DOM BOSCO ATEND. R. OSMARIO SOARES
3417;9410-03;SAGRADA FAMILIA/CORAÇÃO EUCARISTICO
3435;4802A-06;PINDORAMA/BOA VISTA
3514;1001-09;LINHA BLOQUEIO DIAMANTE DOMINGO
3515;1001-08;LINHA BLOQUEIO DIAMANTE DOMINGO
3516;1001-10;LINHA BLOQUEIO DIAMANTE DOMINGO
3534;8205-05;VIA BAIRRO SÃO PAULO
3535;8205-06;VIA BAIRRO SÃO PAULO E ALTO BARROCA
3536;4403D-03;VIA RESIDENCIAL SARANDI
3538;8101-03;SANTA CRUZ / CENTRO
3539;61-13;ESTACAO VENDA NOVA/CENTRO VIA ANT. CARLOS-PARADORA
3540;4501-04;CALIFORNIA II - CENTRO
3542;9105-04;NOVA VISTA /  CENTRO
3543;9204-04;STA EFIGÊNIA/ESTORIL-DESVIO FEIRA  AV. AFONSO PENA
3544;9204-05;STA EFIGÊNIA / CENTRO 
3545;9101-03;ALTO SANTA LUCIA
3554;108;TERMINAL BERNARDO MONTEIRO/HOSPITAIS
3555;108-01;TERMINAL BERNARDO MONTEIRO/HOSPITAIS
3654;9202-09;POMPEIA/JARDIM AMERICA
3717;5503A-07;VIA EST. JOSÉ CANDIDO
3718;3501A-11;VIA FAZ. DA SERRA E EST. JOSE CANDIDO
3719;3501A-10;VIA EST. JOSE CANDIDO
3720;9414-03;SANTA INÊS / JOÃO PINHEIRO - ATEND. AO CALIFORNIA
3721;202-02;VIA MADRE GERTRUDES
3814;806-04;EST. SÃO GABRIEL/VISTA SOL- PART. R. AMÉRICO ALVES
3874;823-02;VIA METRO JOSÉ CÂNDIDO
3914;336-02;VIA ESC. M. B. TRINDADE- MANHÃ
3915;336-03;VIA ESC. M. B. TRINDADE- TARDE
3975;305-05;PARTIDAS DA V. SOLFERINA RICCI
4334;634-03;ESTAÇÃO VILARINHO / RUA LUCI LÉLIS
4335;635-05;ESTAÇÃO VILARINHO / RUA PEDRA TURMALINA
4395;S61-03;DIRETA LANDI / ESTAÇÃO VILARINHO
4396;2215A-13;PARTIDAS RUA RADIALISTA ORLANDO CAVALCANTE 
4397;2215A-12;PARTIDAS AVENIDA A 
4398;4034-09;ATENDIMENTO CONJUNTO FILADELFIA
4399;4034-10;NOVO DOM BOSCO / SAVASSI VIA PADRE EUSTAQUIO
4434;S10-02;BH SHOPPING/SÃO FRANCISCO
1582;4111-04;NOTURNO
1583;4111-05;NOTURNO DESVIO DA FEIRA AV.AFONSO PENA
1626;807;ESTAÇÃO SÃO GABRIEL/RIBEIRO DE ABREU
1627;807-01;EST.S.GABRIEL/RIBEIRO DE ABREU A
1629;808-01;EST. SÃO GABRIEL/PAULO VI
1630;809;BELMONTE / ESTAÇÃO SÃO GABRIEL
1631;809-01; EST. SÃO GABRIEL/BELMONTE
1633;810-01;EST.S.GABRIEL/PQ BELMONTE-D.SILVÉRIO
1682;330-04;R. F. PITANGUEIRA/INDEPENDENCIA
1783;61-08;EST. VENDA NOVA/TERM.AARÃO REIS - AV PARANÁ   
1784;61-09;EST. VENDA NOVA / RETORNO TERM. AARÃO REIS 
1785;61-10;EST. VENDA NOVA / RETORNO TERM. AARÃO REIS 
1786;61-11;EST. VENDA NOVA / AV PARANÁ
1912;2001;LINHA DE BLOQUEIO ESTAÇÃO VENDA NOVA
1913;2001-01;LINHA DE BLOQUEIO ESTAÇÃO VENDA NOVA
1914;2001-02;LINHA DE BLOQUEIO ESTAÇÃO VENDA NOVA
1916;2001-04;LINHA DE BLOQUEIO ESTAÇÃO VENDA NOVA ACESSO LOJAS
1923;640-02;ESTAÇÃO VENDA NOVA/JARDIM LEBLON VIA RIO BRANCO
1940;9031R;NOSSA SENHORA DE FÁTIMA / SANTA EFIGÊNIA
1942;9031R-01;NOSSA SENHORA DE FÁTIMA / SANTA EFIGÊNIA
1944;9031-03;NOSSA SENHORA DE FÁTIMA / CENTRO
1974;630-02;SERRA VERDE/ESTACAO VENDA - ATENDIMENTO AO CANAA
2054;S31-02;PETRÓPOLIS - ATENDIMENTO BAIRRO DAS INDUSTRIAS
2074;4103-05;APARECIDA / MANGABEIRAS
2136;716-03;EST. SAO GABRIEL/NOVO AARAO REIS-PART. SETOR OESTE
2137;806-02;EST. SÃO GABRIEL/VISTA DO SOL-VIA NAZARÉ/-S.OESTE
2138;807-02;RIBEIRO DE ABREU/EST. SÃO GABRIEL-PART SETOR OESTE
2139;808-02;ESTAÇÃO/BAIRRO
2141;810-02;EST. SÃO GABRIEL/PARQUE BELMONTE -VIA DOM SILVÉRIO
2354;8350-07;DIRETA-AMAZONAS/SHOP. DEL REY
2356;808-03;EST. SÃO GABRIEL/PAULO VI - PART RUA  WILSON SILVA
2357;810-03;PARTIDAS DA RUA DONA SILVA
2358;5502A-04;JARDIM VITORIA A / RETORNO EXPRESSO
2359;901-03;NÃO ATEND. PAM SAGRADA  FAMILIA
2360;3501A-06;RETORNO EXPRESSO
2434;4102-03;APARECIDA / CENTRO / APARECIDA
2435;626-07;LANDI VIA NOVA AMÉRICA/ESTAÇÃO VENDA NOVA
2874;9503-04;TAQUARIL / CENTRO- RETORNO RUAS DOS TUPINAMBÁS
2956;E118-01;SERVIÇO ESPECIAL S&M TRANSPORTES
2994;32-07;RETORNO BARBACENA-DIRETA
2995;2104-05;FACULDADE  MILTON CAMPOS /  CENTRO
2997;5507A-04;JARDIM GUANABARA A - CENTRO / RETORNO EXPRESSO
2999;5507A-06;JARDIM GUANABARA A  - CENTRO
3002;5534-05;CONJ. ZILAH SPOSITO - PATIDAS AV SANTOS DUMONT
3003;5534-06; ZILAH SPOSITO/PART. AV SANTOS DUMONT AT.UBIRAJARA
3004;8103-04;NOVA FLORESTA/SANTA LUCIA - RETORNO ÁREA CENTRAL
3005;8208-02;SANTA CRUZ / UNI-ESTORIL -PARTIDAS RUA CURITIBA
3006;8208-03;SANTA CRUZ / UNI-ESTORIL - PART. RUA CURITIBA
3007;9250-04;CAETANO FURQUIM/NOVA CINTRA RETORNO HOSPITAIS
3054;8350-08;ESTAÇÃO  BARREIRO / AV BERNARDO VASCONCELOS
3055;1404A-08;ALÍPIO DE MELO /  CENTRO - RETORNO EXPRESSO
3094;2207-06;ATENDIMENTO CIDADE AMINISTRATIVA - PM
3134;320-02;SEGUNDA VIAGEM
3135;320-03;TERCEIRA VIAGEM
3136;320-04;QUARTA VIAGEM
3137;320-05;QUINTA VIAGEM
3138;320-06;SEXTA VIAGEM
3154;3055-05;RETORNO RUA TOME DE SOUZA-MANHÃ
1038;9206-03;VERA CRUZ/BURITIS
3434;3501B-03;OURO PRETO 3A GLEBA/BAIRRO IPE VIA JD. MONTANHES
3614;9204-06;STA EFIGÊNIA/CENTRO-DESVIO FEIRA  AV. AFONSO PENA
3854;319-04;VIA BONSUCESSO
3934;8401-04;NOTURNO
4054;8203-07;VIA RUA BORBOREMA
4055;8203-08;RENASCENÇA/BURITIS AT AV DEP CRISTOVAM CHIAR/RUA B
4095;636-05;ESTAÇÃO VILARINHO / RUA BENEDITO ANICETO OLIVEIRA
4114;638-02;ESTAÇÃO VILARINHO / RUA EDGAR TORRES
4116;641-02;ESTAÇÃO VILARINHO / RUA GUIDO LEÃO
4117;736-02;ESTAÇÃO VILARINHO / RUA MARIA MARTINS
4134;737-02;ESTAÇÃO VILARINHO / RUA AGENOR DE PAULA ESTRELA
4136;738-02;ESTAÇÃO VILARINHO / RUA ATANÁSIA DOS JARDINS
4137;739-02;ESTAÇÃO VILARINHO / RUA CARNAÚBA
4354;636-06;EST. VENDA NOVA / JARDIM EUROPA VIA B. CENÁCULO   
4355;636-07;ESTAÇÃO VILARINHO / JARDIM EUROPA VIA B. CENÁCULO
4534;808-04;BAIRRO/ESTAÇÃO
4674;808-05;EST. SÃO GABRIEL/PAULO VI - PART. RUA DAS ALMAS
4695;62-11;DIRETA - ESTAÇÃO VENDA NOVA / HOSPITAIS (TARDE)
4716;5523A-08;RETORNO EXPRESSO PORTAS (PORTAS FECHADAS)
4819;SE02-01;BURITIS / SAVASSI
16;1115-02;FLAVIO MARQUES LISBOA
60;1404R;VILA PARAISO/CENTRO VIA MARAJO
140;2212A-02;JARDIM ATLANTICO RETORNO AV SANTOS DUMONT
198;2256A-02;SAO JOAO BATISTA A
271;317;CIRCULAR SAUDE B
314;402;METRO CID.INDUSTRIAL/CAMARGOS
426;5507A-02;JARDIM GUANABARA A
516;624-01;EST. VENDA NOVA/MARIA HELENA A
582;8103R-01;SAO BENTO/CENTRO
619;9104-01;SAGRADA FAMILIA/LUXEMBURGO
671;9407-01;ALTO VERA CRUZ/DOM BOSCO
692;9502-02;SAO GERALDO/SAO FRANCISCO VIA ESPLANADA
739;4111-01;PRINCIPAL
793;2215C-03;KATIA VIA CEU AZUL
813;708-01;EST. SÃO GABRIEL / FELICIDADE
872;205-01;METRO CALAFATE/ BURITIS
970;34-01;EST. BARREIRO / VIA EXPRESSA 
1029;5523A-05;CONJUNTO PAULO VI / PARTIDAS AV CONTORNO
85;203;MORRO DAS PEDRAS/VENTOSA
209;30-04;ESTACAO DIAMANTE/CENTRO
394;5102-01;UFMG/SANTO ANTONIO
465;5523A-03;CONJUNTO PAULO VI 
628;9202;POMPEIA/JARDIM AMERICA
769;607-02;PEDRA BRANCA/JAQUELINE
1041;9412-11;CONJ.TAQUARIL/PADRE EUSTAQUIO
1099;E026;SERVIÇO ESPECIAL TRANSIMÃO
1126;E051-01;SERVIÇO ESPECIAL VIAÇÃO GLOBO
1162;E094;SERVIÇO ESPECIAL RODAP
1201;4001;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1231;901-02;CIRCULAR LESTE
1347;S50-01;CAIÇARA / NOVA VISTA - VIA UFMG
1378;S70;CONJ. FELICIDADE/SHOPPING DEL REY
1463;2212C-03;COPACABANA VIA M. CARMELO - PART.RUA DOS CAETÉS
3715;822-04;ATENDIMENTO A POUSADA SANTO ANTÔNIO
