NumeroLinha;Linha;Nome
283;320-01;ESCOLA ESTADUAL AMARO NEVES
285;321-01;OLHOS D AGUA / PILAR
286;321-02;VIA SETOR INDUSTRIAL
289;3301B;CASTELO/CENTRO VIA CARLOS LUZ
296;3302B-01;TREVO/CENTRO VIA BRAUNAS
297;3302B-02;HOSPITAIS
299;3302D-01;BRAUNAS/CENTRO
300;350;TIROL/BARREIRO
302;3501B;OURO PRETO/IPE VIA JARDIM MONTANHES
306;3503A;SANTA TEREZINHA/SAO GABRIEL
308;3503A-02;NOTURNO
309;3503A-03;PARTIDAS DO OURO MINAS
310;3503A-05;SANTA TEREZINHA/SAO GABRIEL
312;401-01;METRO CID.INDUSTRIAL/S.MARIA
318;402-05;VIA SANTA MARIA
320;403;ESTACAO GAMELEIRA / CALIFORNIA VIA PUC
322;403-02;ESTACAO GAMELEIRA / CALIFORNIA VIA PUC
325;4032;CAICARA /SAVASSI/ PCA. DA LIBERDADE
329;4033-01;CAMARGOS VIA EXPRESSA/CENTRO
330;4034;NOVO DOM BOSCO / SAVASSI VIA PADRE EUSTAQUIO
332;4034-02;NOVO DOM BOSCO / SAVASSI VIA PADRE EUSTAQUIO
333;4103;APARECIDA/MANGABEIRAS
334;4103-01;APARECIDA/MANGABEIRAS
339;4107;ALTO CAICARA/SERRA
340;4107-01;ALTO CAICARA/SERRA
343;4107R-01;SERRA/CENTRO VIA HOSPITAL EVANGELICO
347;4113;BOM JESUS/BELVEDERE VIA AV. RAJA GABAGLIA
350;4150;SHOPPING DEL REY/BH SHOPPING
354;4205;ERMELINDA/SALGADO FILHO VIA PRADO
357;4403A-01;ZOOLOGICO VIA SERRANO
358;4403A-03;ZOOLOGICO VIA SERRANO
360;4403C-01;RESIDENCIAL SARANDI
361;4403D;URCA-CONFISCO
363;4405;COQUEIROS/CENTRO/HOSPITAIS
364;4405-01;COQUEIROS/CENTRO/HOSPITAIS
367;4410;SERRANO
368;4410-01;SERRANO
370;4410-03;SERRANO
371;4501;CALIFORNIA II / SAO PAULO
372;4501-01;CALIFORNIA II / SAO PAULO
374;4801A-01;JARDIM FILADELFIA/BOA VISTA A
376;4802A-01;PINDORAMA/BOA VISTA
379;503;ESTAÇÃO SÃO GABRIEL/APARECIDA/SANTA ROSA
382;5030-01;UFMG/CENTRO
383;5030-02;UFMG/CENTRO
385;5031;SUZANA/UNIVERSITARIO/PCA DA LIBERDADE
387;5031-02;SUZANA/UNIVERSITARIO - DESVIO FEIRA AFONSO PENA
388;504;ESTAÇÃO SÃO GABRIEL/SANTA ROSA/APARECIDA
392;5101-02;SUZANA/CRUZEIRO - DESVIO FEIRA AV AFONSO PENA
395;5102-02;UFMG/SANTO ANTONIO
396;5102-03;MINEIRAO/STO. ANTONIO
398;5102-05;UFMG/SANTO ANTONIO
400;5201-01;DONA CLARA/BURITIS
405;5503A-03;NOTURNO
408;5503B;GOIANIA B/CENTRO/HOSPITAIS
411;5505A-01;NAZARE
415;5506A;RIBEIRO DE ABREU/HOSPITAIS
416;5506A-01;RIBEIRO DE ABREU/HOSPITAIS
418;5506B-01;RIBEIRO DE ABREU VIA CONJUNTO
419;5506C;PAULO VI VIA RIBEIRO DE ABREU
421;5506C-02;PAULO VI - ATENDIMENTO CONJ. RIBEIRO DE ABREU
425;5507A-01;JARDIM GUANABARA A
427;5507A-03;JARDIM GUANABARA A
430;5507C-02;JARDIM GUANABARA C
432;5508A-01;MINASLANDIA VIA PRIMEIRO DE MAIO
